[GIN] 2026/03/15 - 04:43:12 | 200 |      3.1394ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:43:24 | 200 |      3.9707ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:43:24 | 200 |     14.6918ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:43:36 | 200 |      1.5657ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:43:36 | 200 |      4.1216ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:43:44 | 200 |      1.1799ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:43:44 | 200 |     12.4031ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:43:48 | 200 |      2.9702ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:43:48 | 200 |     15.5407ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:44:00 | 200 |      1.8768ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:00 | 200 |     17.9234ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:44:12 | 200 |       2.903ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:12 | 200 |      7.6729ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:44:19 | 200 |      4.6936ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:19 | 200 |     22.4331ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:44:24 | 200 |       5.515ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:24 | 200 |     14.2987ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:44:25 | 200 |      3.5117ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:25 | 200 |     22.4077ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:44:36 | 200 |      5.9238ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:36 | 200 |      9.9243ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:44:37 | 200 |      3.3768ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:37 | 200 |     16.6506ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:44:48 | 200 |       7.281ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:48 | 200 |     17.1745ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:44:49 | 200 |      3.0063ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:44:49 | 200 |     15.0511ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:45:00 | 200 |      5.2031ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:00 | 200 |      8.5126ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:45:00 | 200 |      2.8629ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:00 | 200 |      3.6934ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:45:12 | 200 |      1.0696ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:12 | 200 |      2.2481ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:45:13 | 200 |     10.1386ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:13 | 200 |     18.4991ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:45:24 | 200 |      1.7488ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:24 | 200 |     16.1522ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:45:25 | 200 |      2.8688ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:25 | 200 |      2.2937ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:45:36 | 200 |      3.2073ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:36 | 200 |      6.5513ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:45:37 | 200 |      3.9754ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:45:37 | 200 |     29.4244ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:45:48 | 200 |      1.7562ms |       127.0.0.1 | GET      "/rooms/864612"
