[GIN] 2026/03/15 - 03:05:00 | 200 |       508.6µs |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:05:00 | 200 |      19.002ms |       127.0.0.1 | GET      "/ws/833922?player_id=633"
[GIN] 2026/03/15 - 03:05:00 | 200 |     34.6074ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:00 | 200 |      6.7624ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:01 | 200 |       521.2µs |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:05:01 | 200 |            0s |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/15 - 03:05:01 | 200 |      1.6169ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:05:02 | 200 |       4.699ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/15 - 03:05:02 | 200 |      2.1902ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:05:02 | 200 |      5.2253ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:02 | 200 |     12.2989ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:02 | 200 |     13.1565ms |       127.0.0.1 | GET      "/ws/833922?player_id=634"
[GIN] 2026/03/15 - 03:05:02 | 200 |      2.7487ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:02 | 200 |      2.9823ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:02 | 200 |      2.6975ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:03 | 200 |         528µs |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/15 - 03:05:03 | 200 |      2.2645ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:05:03 | 200 |      1.1397ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:05:03 | 200 |      5.9059ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/15 - 03:05:04 | 200 |      2.1009ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:05:04 | 200 |      3.1473ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      7.5761ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |       6.271ms |       127.0.0.1 | GET      "/ws/833922?player_id=635"
[GIN] 2026/03/15 - 03:05:04 | 200 |      13.056ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      4.6219ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      2.2919ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      2.2921ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      2.6256ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |     15.3007ms |       127.0.0.1 | POST     "/rooms/833922/start?player_id=632"
[GIN] 2026/03/15 - 03:05:04 | 200 |      20.998ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |     25.0243ms |       127.0.0.1 | GET      "/ws/833922?player_id=632"
[GIN] 2026/03/15 - 03:05:04 | 200 |     35.9065ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:04 | 200 |       977.9µs |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |       2.708ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:04 | 200 |      6.2437ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      8.0588ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:04 | 200 |      9.4233ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      1.2505ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      8.1027ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:04 | 200 |      3.9691ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=632"
[GIN] 2026/03/15 - 03:05:04 | 200 |      8.9704ms |       127.0.0.1 | GET      "/rooms/833922"
[GIN] 2026/03/15 - 03:05:04 | 200 |      6.9853ms |       127.0.0.1 | GET      "/ws/833922?player_id=634"
[GIN] 2026/03/15 - 03:05:04 | 200 |     21.5861ms |       127.0.0.1 | GET      "/rooms/833922/progress?player_id=634"
