[GIN] 2026/03/14 - 02:38:28 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms"
[GIN] 2026/03/14 - 02:38:28 | 200 |      6.9206ms |       127.0.0.1 | POST     "/rooms"
[GIN] 2026/03/14 - 02:38:30 | 200 |      6.8843ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:30 | 200 |     18.7146ms |       127.0.0.1 | GET      "/ws/484160?player_id=506"
[GIN] 2026/03/14 - 02:38:32 | 200 |      2.6906ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/14 - 02:38:32 | 200 |       545.9µs |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/14 - 02:38:33 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms/join"
[GIN] 2026/03/14 - 02:38:33 | 200 |     14.2032ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/14 - 02:38:33 | 200 |      2.1344ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/14 - 02:38:33 | 200 |      4.8993ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:33 | 200 |      3.9763ms |       127.0.0.1 | GET      "/ws/484160?player_id=507"
[GIN] 2026/03/14 - 02:38:33 | 200 |      4.3264ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:34 | 200 |    107.7863ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:34 | 200 |     13.8909ms |       127.0.0.1 | POST     "/rooms/484160/start?player_id=506"
[GIN] 2026/03/14 - 02:38:34 | 200 |      4.0299ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:34 | 200 |     10.8636ms |       127.0.0.1 | GET      "/ws/484160?player_id=506"
[GIN] 2026/03/14 - 02:38:34 | 200 |      2.4453ms |       127.0.0.1 | GET      "/rooms/484160"
[GIN] 2026/03/14 - 02:38:35 | 200 |      1.8915ms |       127.0.0.1 | GET      "/ws/484160?player_id=507"
